iter	Passed	Remaining
0	145	145458
1	154	77104
2	163	54439
3	169	42308
4	175	35014
5	180	29926
6	183	26076
7	186	23156
8	190	20975
9	194	19245
10	196	17674
11	198	16345
12	200	15222
13	202	14257
14	204	13455
15	209	12898
16	211	12243
17	213	11637
18	214	11093
19	216	10606
20	218	10166
21	220	9808
22	224	9544
23	226	9221
24	228	8912
25	230	8623
26	231	8352
27	233	8101
28	235	7870
29	238	7724
30	241	7537
31	242	7348
32	244	7169
33	246	6997
34	247	6837
35	249	6682
36	251	6553
37	256	6483
38	258	6360
39	259	6238
40	261	6118
41	263	6004
42	264	5895
43	266	5793
44	269	5722
45	272	5652
46	274	5566
47	276	5477
48	277	5391
49	279	5309
50	281	5231
51	283	5162
52	284	5088
53	286	5020
54	288	4952
55	289	4886
56	291	4823
57	293	4760
58	294	4701
59	296	4644
60	298	4590
61	299	4538
62	301	4488
63	303	4437
64	305	4388
65	306	4340
66	308	4293
67	309	4247
68	311	4204
69	313	4160
70	315	4125
71	316	4084
72	318	4045
73	320	4007
74	321	3969
75	323	3932
76	325	3897
77	326	3862
78	328	3828
79	330	3797
80	331	3764
81	333	3731
82	334	3701
83	336	3670
84	338	3641
85	340	3613
86	341	3585
87	343	3557
88	345	3532
89	346	3506
90	348	3480
91	350	3454
92	351	3429
93	353	3403
94	354	3381
95	356	3358
96	358	3334
97	359	3312
98	361	3291
99	363	3270
100	365	3248
101	366	3227
102	368	3206
103	370	3187
104	371	3167
105	373	3148
106	375	3130
107	376	3111
108	378	3092
109	379	3073
110	381	3055
111	383	3037
112	384	3020
113	386	3003
114	387	2985
115	389	2968
116	391	2954
117	393	2938
118	394	2923
119	396	2907
120	398	2893
121	399	2878
122	401	2863
123	403	2848
124	404	2833
125	406	2818
126	407	2804
127	409	2790
128	411	2777
129	412	2763
130	414	2749
131	416	2736
132	417	2723
133	419	2710
134	421	2698
135	422	2685
136	424	2673
137	426	2661
138	427	2649
139	429	2638
140	431	2625
141	432	2614
142	434	2602
143	436	2592
144	437	2582
145	439	2570
146	441	2560
147	442	2549
148	444	2539
149	446	2528
150	447	2518
151	449	2507
152	451	2497
153	452	2488
154	454	2477
155	456	2467
156	457	2457
157	459	2447
158	460	2437
159	462	2428
160	464	2418
161	465	2409
162	467	2402
163	469	2393
164	471	2384
165	472	2375
166	474	2366
167	476	2357
168	477	2348
169	479	2339
170	481	2331
171	482	2323
172	484	2315
173	486	2307
174	487	2299
175	489	2291
176	491	2283
177	492	2274
178	494	2266
179	496	2259
180	497	2251
181	499	2244
182	500	2236
183	502	2229
184	504	2221
185	505	2213
186	507	2206
187	509	2199
188	510	2191
189	512	2184
190	514	2177
191	515	2169
192	517	2163
193	518	2156
194	520	2149
195	522	2142
196	523	2135
197	525	2128
198	527	2122
199	528	2115
200	530	2108
201	532	2102
202	533	2095
203	535	2088
204	537	2082
205	538	2076
206	540	2069
207	542	2064
208	543	2058
209	545	2052
210	547	2045
211	548	2039
212	550	2033
213	551	2027
214	553	2020
215	555	2014
216	556	2009
217	558	2004
218	560	1998
219	561	1992
220	563	1987
221	565	1982
222	567	1976
223	568	1970
224	570	1964
225	572	1959
226	573	1953
227	575	1948
228	577	1942
229	578	1937
230	580	1931
231	581	1926
232	583	1920
233	585	1915
234	586	1910
235	588	1905
236	590	1900
237	591	1894
238	593	1889
239	595	1884
240	596	1879
241	598	1874
242	600	1869
243	601	1864
244	603	1859
245	605	1854
246	606	1849
247	608	1844
248	609	1839
249	611	1834
250	613	1829
251	614	1824
252	616	1819
253	618	1817
254	620	1812
255	622	1807
256	623	1803
257	625	1798
258	627	1794
259	628	1789
260	630	1784
261	631	1779
262	633	1775
263	635	1770
264	636	1766
265	638	1762
266	640	1757
267	641	1753
268	643	1748
269	644	1743
270	646	1739
271	648	1734
272	649	1730
273	651	1726
274	653	1722
275	655	1718
276	656	1714
277	658	1710
278	660	1706
279	661	1701
280	663	1697
281	664	1693
282	666	1689
283	668	1685
284	669	1680
285	671	1676
286	673	1672
287	674	1668
288	676	1664
289	678	1660
290	679	1656
291	681	1652
292	683	1648
293	684	1644
294	686	1640
295	687	1636
296	689	1632
297	691	1628
298	692	1624
299	694	1620
300	696	1616
301	697	1613
302	699	1609
303	701	1605
304	702	1601
305	704	1597
306	706	1594
307	707	1590
308	709	1586
309	711	1582
310	712	1579
311	714	1575
312	716	1572
313	717	1568
314	719	1564
315	721	1560
316	722	1556
317	724	1553
318	726	1549
319	727	1546
320	729	1543
321	731	1539
322	732	1536
323	734	1532
324	736	1528
325	737	1525
326	739	1521
